Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
1	11:48:54.479	1349.29	1667.04	23.54	80.94	-2396.17	545.02	-2371.22	485.98	87.71	-44.23	45.20	649.81	1437.59	56.44	
2	11:48:55.478	1351.96	1668.13	23.58	81.05	-2331.67	635.32	-2372.43	485.57	86.12	-44.24	44.94	648.04	1442.00	56.38	
3	11:48:56.489	1358.26	1671.32	23.14	81.27	-2396.17	545.02	-2373.81	486.10	86.12	-44.25	45.07	646.01	1433.32	56.30	
4	11:48:57.478	1352.82	1668.61	23.52	81.07	-2402.62	596.62	-2373.35	485.79	86.91	-44.24	44.96	647.36	1440.01	56.36	
5	11:48:58.487	1346.95	1666.51	23.78	80.82	-2396.17	545.02	-2371.87	485.40	86.52	-44.23	45.16	650.66	1440.63	56.36	
6	11:48:59.476	1353.16	1669.24	23.52	81.06	-2331.67	635.32	-2373.12	485.89	86.91	-44.24	45.25	648.50	1433.01	56.48	
7	11:49:00.484	1362.89	1670.65	23.05	81.58	-2402.62	596.62	-2374.73	486.48	85.72	-44.26	45.29	645.24	1424.70	56.18	
8	11:49:01.489	1365.34	1672.18	22.91	81.65	-2396.17	583.72	-2375.04	486.60	86.52	-44.26	45.33	645.70	1424.60	56.17	
9	11:49:02.500	1339.03	1664.04	24.37	80.47	-2396.17	545.02	-2369.85	484.48	87.71	-44.21	45.38	654.11	1441.45	56.45	
10	11:49:03.487	1324.42	1657.63	24.99	79.90	-2396.17	545.02	-2366.59	482.48	87.71	-44.18	45.77	657.58	1436.82	56.55	
11	11:49:04.481	1357.61	1669.52	23.22	81.32	-2331.67	635.32	-2374.19	486.45	87.31	-44.25	45.20	647.65	1432.84	56.34	
12	11:49:05.477	1366.35	1672.32	22.77	81.70	-2396.17	590.17	-2375.33	486.80	85.72	-44.27	45.05	644.14	1429.84	56.08	
13	11:49:06.478	1358.88	1670.17	23.14	81.36	-2396.17	545.02	-2374.41	486.52	86.12	-44.26	45.22	646.35	1429.34	56.28	
14	11:49:07.482	1343.50	1665.25	24.03	80.68	-2331.67	635.32	-2370.92	484.44	86.91	-44.22	45.35	652.57	1438.85	56.40	
15	11:49:08.491	1345.47	1665.48	23.83	80.79	-2396.17	583.72	-2371.80	485.13	86.52	-44.23	45.34	651.50	1436.80	56.40	
16	11:49:09.478	1350.93	1667.79	23.57	81.00	-2396.17	583.72	-2372.94	485.81	86.52	-44.24	45.02	648.79	1441.19	56.42	
17	11:49:10.509	1348.51	1666.76	23.74	80.91	-2396.17	545.02	-2372.93	486.08	87.31	-44.23	45.12	649.13	1438.65	56.41	
18	11:49:11.479	1364.85	1671.75	22.82	81.64	-2331.67	635.32	-2375.37	487.15	86.12	-44.26	45.33	645.80	1424.71	56.01	
19	11:49:12.476	1344.50	1665.68	23.97	80.72	-2396.17	545.02	-2372.28	484.86	87.31	-44.22	45.33	651.49	1437.16	56.31	
20	11:49:13.481	1353.30	1668.11	23.55	81.13	-2402.62	596.62	-2373.16	486.14	86.52	-44.24	45.06	648.37	1438.87	56.41	
21	11:49:14.488	1343.45	1665.46	24.06	80.67	-2396.17	545.02	-2371.46	484.93	87.71	-44.21	45.25	651.85	1440.45	56.36	
22	11:49:15.482	1339.64	1663.36	24.20	80.54	-2396.17	545.02	-2370.67	484.97	88.50	-44.21	45.44	653.63	1438.45	56.39	
23	11:49:16.516	1359.42	1670.26	23.11	81.39	-2396.17	545.02	-2374.60	486.64	86.52	-44.25	45.34	646.74	1426.48	56.23	
