Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
0, 11/28/2024, 13:09:26.676,0.00032211
1, 11/28/2024, 13:09:28.068,0.00032201
2, 11/28/2024, 13:09:29.093,0.00032212
3, 11/28/2024, 13:09:30.119,0.00032216
4, 11/28/2024, 13:09:31.148,0.00032227
5, 11/28/2024, 13:09:32.151,0.00032225
6, 11/28/2024, 13:09:33.168,0.00032215
7, 11/28/2024, 13:09:34.182,0.00032221
8, 11/28/2024, 13:09:35.193,0.00032219
9, 11/28/2024, 13:09:36.204,0.00032213
10, 11/28/2024, 13:09:37.216,0.00032205
11, 11/28/2024, 13:09:38.226,0.00032218
12, 11/28/2024, 13:09:39.240,0.00032224
13, 11/28/2024, 13:09:40.254,0.0003223
14, 11/28/2024, 13:09:41.279,0.00032239
15, 11/28/2024, 13:09:42.307,0.0003224
16, 11/28/2024, 13:09:43.328,0.00032237
17, 11/28/2024, 13:09:44.352,0.00032245
18, 11/28/2024, 13:09:45.356,0.0003224
19, 11/28/2024, 13:09:46.370,0.00032229
20, 11/28/2024, 13:09:47.384,0.00032229
21, 11/28/2024, 13:09:48.396,0.00032232
22, 11/28/2024, 13:09:49.405,0.00032232
23, 11/28/2024, 13:09:50.414,0.00032239
24, 11/28/2024, 13:09:51.425,0.00032235
25, 11/28/2024, 13:09:52.435,0.00032237
26, 11/28/2024, 13:09:53.445,0.00032241
27, 11/28/2024, 13:09:54.458,0.0003224
28, 11/28/2024, 13:09:55.466,0.00032239
29, 11/28/2024, 13:09:56.481,0.00032242
30, 11/28/2024, 13:09:57.495,0.00032225
31, 11/28/2024, 13:09:58.508,0.00032228
32, 11/28/2024, 13:09:59.521,0.0003223
33, 11/28/2024, 13:10:00.535,0.00032234
34, 11/28/2024, 13:10:01.545,0.00032231
35, 11/28/2024, 13:10:02.558,0.00032231
36, 11/28/2024, 13:10:03.577,0.00032235
37, 11/28/2024, 13:10:04.590,0.00032243
38, 11/28/2024, 13:10:05.598,0.00032245
39, 11/28/2024, 13:10:06.627,0.00032245
40, 11/28/2024, 13:10:07.644,0.00032246
